year,lat
1918.371,5.3
1918.371,10.3
1918.373,-21.4
1918.373,4.7
1918.373,9.8
1918.376,-21.1
1918.376,9.8
1918.379,-21.4
1918.379,10.7
1918.382,-21.6
1918.382,10.4
1918.384,-9.4
1918.384,10.0
1918.386,-12.8
1918.386,-8.8
1918.386,11.0
1918.386,-16.6
1918.390,-16.5
1918.390,-14.2
1918.390,-9.6
1918.412,-20.4
1918.412,-25.5
1918.412,-8.1
1918.412,3.1
1918.415,-19.2
1918.415,-18.6
1918.415,-26.0
1918.415,-8.2
1918.415,-10.0
1918.415,3.6
1918.415,16.1
1918.415,19.8
1918.415,19.5
1918.415,15.8
1918.417,-19.7
1918.417,-25.0
1918.417,-7.5
1918.417,-5.9
1918.417,-9.2
1918.417,-4.4
1918.417,5.6
1918.417,17.9
1918.417,19.9
1918.417,21.3
1918.423,-21.5
1918.423,-6.2
1918.423,2.4
1918.423,10.1
1918.423,15.5
1918.423,20.9
1918.425,-7.8
1918.425,16.7
1918.425,13.8
1918.425,12.2
1918.425,3.6
1918.428,-6.3
1918.428,15.1
1918.428,3.9
1918.431,13.8
1918.431,18.1
1918.431,15.0
1918.431,4.5
1918.434,16.8
1918.434,16.2
1918.436,12.4
1918.436,14.5
1918.439,14.6
1918.469,-10.3
1918.469,-12.9
1918.475,-14.0
1918.475,-4.6
1918.486,-19.0
1918.488,-19.2
1918.488,5.6
1918.488,8.9
1918.488,16.7
1918.505,13.8
1918.508,-14.2
1918.508,15.0
1918.508,11.5
1918.508,16.7
1918.508,9.9
1918.516,-13.6
1918.519,-11.6
1918.519,-15.5
1918.519,-13.9
1918.519,-12.6
1918.519,15.7
1918.519,12.4
1918.520,-13.2
1918.520,-11.8
1918.520,-11.5
1918.520,15.7
1918.520,12.2
1918.524,-13.9
1918.524,-12.3
1918.524,-11.9
1918.524,15.9
1918.527,-10.3
1918.527,15.7
1918.530,-11.7
1918.530,-9.2
1918.530,-9.9
1918.530,-13.6
1918.530,3.5
1918.532,-8.4
1918.532,-9.8
1918.532,3.4
1918.532,5.9
1918.535,-18.1
1918.535,-8.8
1918.535,3.4
1918.538,-8.8
1918.540,6.9
1918.543,-13.1
1918.543,8.0
1918.546,-13.3
1918.546,15.4
1918.546,8.1
1918.549,-13.0
1918.549,8.1
1918.549,15.7
1918.551,-11.4
1918.551,-14.3
1918.551,13.6
1918.557,-14.0
1918.557,16.3
1918.560,-11.6
1918.560,14.7
1918.562,-13.7
1918.562,-18.1
1918.562,-24.3
1918.562,-16.6
1918.562,6.1
1918.562,15.9
1918.565,-25.3
1918.565,7.4
1918.568,-16.7
1918.568,6.4
1918.571,-17.4
1918.571,-21.3
1918.571,9.2
1918.571,17.8
1918.571,22.0
1918.573,-20.6
1918.573,5.6
1918.573,15.8
1918.573,22.1
1918.576,-22.4
1918.576,8.0
1918.576,16.1
1918.576,19.5
1918.579,5.5
1918.579,9.9
